,State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,sex_ratio,literacy_rate
78,Bihar,Patna,25.40297114503818,85.3198433587787,230,BIHAR,5838465,3078512,2759953,2028047,1431632,5356075,439952,12551,4803,1062,2151,21871,321307,546859,40692,132582,657991,552103,1210094,897.0,59.0
79,Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,BIHAR,5099371,2681209,2418162,1407603,869354,4086453,990349,4865,668,878,464,15694,52358,74979,7719,70258,1142260,101565,1243825,902.0,45.0
80,Bihar,Purnia,25.81714801901739,87.40447606973065,211,BIHAR,3264619,1699370,1565249,805261,527065,1989420,1255641,7989,614,353,1450,9152,33688,86058,4170,33664,712847,85749,798596,921.0,41.0
81,Bihar,Rohtas,24.99170460829495,83.9350762672811,234,BIHAR,2959918,1543546,1416372,1061783,738049,2645415,300487,2889,2569,1584,252,6722,41659,114893,4594,36279,512383,95678,608061,918.0,61.0
82,Bihar,Saharsa,25.821270696721303,86.54670819672135,214,BIHAR,1900661,997174,903487,506374,298622,1629254,266620,1292,197,60,109,3129,21651,41342,1668,19415,432651,38046,470697,906.0,42.0
83,Bihar,Samastipur,25.793205563909765,85.94833323308269,221,BIHAR,4261566,2230003,2031563,1293575,849305,3800598,452370,2126,554,292,231,5395,46123,88021,5379,50918,1012979,43486,1056465,911.0,50.0
84,Bihar,Saran,25.89656077844312,84.82266287425155,219,BIHAR,3951862,2022821,1929041,1285767,871687,3534772,406449,2330,371,229,322,7389,51822,94787,4509,37442,701323,76299,777622,954.0,55.0
85,Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,BIHAR,636342,329743,306599,196431,132245,596102,37653,313,75,41,43,2115,6803,20065,631,8873,108293,24345,132638,930.0,52.0
86,Bihar,Sheohar,26.458380748663107,85.29539411764709,205,BIHAR,656246,346673,309573,171645,112053,552492,99342,522,216,73,52,3549,3983,10004,478,6698,158484,7516,166000,893.0,43.0
87,Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,BIHAR,3423574,1803252,1620322,885188,551606,2672311,740101,2897,261,253,188,7563,39465,66263,3460,42461,807294,49670,856964,899.0,42.0
88,Bihar,Siwan,26.1736372013652,84.33766552901022,218,BIHAR,3330464,1675090,1655374,1115906,814269,2712635,608282,2618,369,407,359,5794,42384,52935,3834,37833,632514,41858,674372,988.0,58.0
89,Bihar,Supaul,26.28157893772896,86.78496465201461,208,BIHAR,2229076,1155283,1073793,647672,385611,1809936,409251,3758,271,136,546,5178,12111,51028,1845,25078,572287,27815,600102,929.0,46.0
90,Bihar,Vaishali,25.8134703180212,85.39247597173153,220,BIHAR,3495021,1844535,1650486,1152576,774164,3152346,333980,2203,707,362,246,5177,47300,70001,4810,39564,699317,51494,750811,895.0,55.0
91,Chandigarh,Chandigarh,30.7426,76.75872465753424,55,CHANDIGARH,1055450,580663,474787,465346,340092,852574,51447,8720,138329,1160,1960,1260,168344,231204,44283,78113,8911,289456,298367,818.0,76.0
92,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,CHHATTISGARH,1413199,698487,714712,382335,268528,1277975,12413,27951,2099,985,3466,88310,22075,157646,1782,9042,316425,54894,371319,1023.0,46.0
93,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,HIMACHAL PRADESH,381956,192764,189192,155599,132021,371973,6984,236,2387,113,10,253,17262,79146,1574,6281,152458,11987,164445,981.0,75.0
94,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,CHHATTISGARH,2663629,1351574,1312055,932474,664086,2540763,57973,20745,6373,2979,2357,32439,77727,519704,8566,30892,549632,188174,737806,971.0,60.0
95,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,HIMACHAL PRADESH,381956,192764,189192,155599,132021,371973,6984,236,2387,113,10,253,17262,79146,1574,6281,152458,11987,164445,981.0,75.0
